,NAME_x,NAME_CLEAN,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,COUNTYCODE,COUNTYNAME,PHONE,EMP_MIN,EMP_MAX,EMPRANGECODE,NAICS,OWNERSHIP,year,NAME_y,Location ,Incentive_Type ,Term ,Projected_Jobs,Projected_New_State_Tax_Revenue_Over_Term ,Projected_Capital_Investment,Projected_New_State_Wages ,Maximum_Cap_Incentive
80,FAMILY DOLLAR OPERATIONS INC,FAMILY DOLLAR,7672 CENTER SQ,,MIDVALE,UT,840477329,35,Salt Lake,(314) 997-2100,5,9,C,561110,Private,2012,FAMILY DOLLAR,ST. GEORGE,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
81,FIREEYE INC,FIREEYE,147 ELECTION RD,#110,DRAPER,UT,84020,35,Salt Lake,(408) 321-6300,100,249,G,541519,Private,2013,FIREEYE,LEHI/DRAPER,EDTIF,10,250,"$14,412,621 ","$3,000,000 ","$152,798,326 ","$3,603,155 "
82,FLSMIDTH CENTRY,FLSMIDTH,7158 S FL SMIDTH DR,,MIDVALE,UT,840475559,35,Salt Lake,(801) 871-7822,250,499,H,541330,Private,2012,FLSMIDTH,MIDVALE,EDTIF,10,124,"$11,734,578 ","$16,000,000 ","$86,817,275 ","$2,933,645 "
83,"FRESENIUS MANAGEMENT SERVICES, INC.",FRESENIUS,,,,,,35,Salt Lake,(615) 312-1685,10,19,D,561110,Private,2008,FRESENIUS,OGDEN,EDTIF,10,"1,111","$16,630,445 ","$340,000,000 ","$303,339,000 ","$4,157,611 "
84,FRESENIUS MEDICAL CARE HEALTHCARE R,FRESENIUS,,,,,,35,Salt Lake,(781) 699-9343,0,,A,611430,Private,2008,FRESENIUS,OGDEN,EDTIF,10,"1,111","$16,630,445 ","$340,000,000 ","$303,339,000 ","$4,157,611 "
85,FRESENIUS USA MARKETING,FRESENIUS,,,,,,35,Salt Lake,(615) 312-1685,10,19,D,541613,Private,2008,FRESENIUS,OGDEN,EDTIF,10,"1,111","$16,630,445 ","$340,000,000 ","$303,339,000 ","$4,157,611 "
86,GAF MATERIALS LLC,GAF,,,,,,35,Salt Lake,(973) 628-3215,1,4,B,425120,Private,2013,GAF,CEDAR CITY,EDTIF,15,50,"$3,546,847 ","$40,000,000 ","$38,272,300 ","$886,712 "
87,GOLDMAN SACHS,GOLDMAN SACHS,2100 E BENGAL BLVD,,SALT LAKE CITY,UT,84121,35,Salt Lake,(888) 805-5142,1000,1999,J,522298,Private,2008,GOLDMAN SACHS * (CY2010),SALT LAKE CITY,EDTIF,20,375,"$81,762,999 ","$20,200,000 ","$886,727,000 ","$20,000,000 "
88,GOLDMAN SACHS,GOLDMAN SACHS,2100 E BENGAL BLVD,,SALT LAKE CITY,UT,84121,35,Salt Lake,(888) 805-5142,1000,1999,J,522298,Private,2010,GOLDMAN SACHS,SALT LAKE CITY,EDTIF,20,690,"$157,611,363 ","$51,000,000 ","$1,713,742,314 ","$47,283,409 "
89,GOLDMAN SACHS,GOLDMAN SACHS,4246 S RIVERBOAT ROAD,,SALT LAKE CITY,UT,841235996,35,Salt Lake,,50,99,F,551111,Private,2008,GOLDMAN SACHS * (CY2010),SALT LAKE CITY,EDTIF,20,375,"$81,762,999 ","$20,200,000 ","$886,727,000 ","$20,000,000 "
90,GOLDMAN SACHS,GOLDMAN SACHS,4246 S RIVERBOAT ROAD,,SALT LAKE CITY,UT,841235996,35,Salt Lake,,50,99,F,551111,Private,2010,GOLDMAN SACHS,SALT LAKE CITY,EDTIF,20,690,"$157,611,363 ","$51,000,000 ","$1,713,742,314 ","$47,283,409 "
91,GOLDMAN SACHS,GOLDMAN SACHS,222 S MAIN ST,,SALT LAKE CITY,UT,841011287,35,Salt Lake,,50,99,F,551111,Private,2008,GOLDMAN SACHS * (CY2010),SALT LAKE CITY,EDTIF,20,375,"$81,762,999 ","$20,200,000 ","$886,727,000 ","$20,000,000 "
92,GOLDMAN SACHS,GOLDMAN SACHS,222 S MAIN ST,,SALT LAKE CITY,UT,841011287,35,Salt Lake,,50,99,F,551111,Private,2010,GOLDMAN SACHS,SALT LAKE CITY,EDTIF,20,690,"$157,611,363 ","$51,000,000 ","$1,713,742,314 ","$47,283,409 "
93,"THE GOLDMAN SACHS GROUP, INC.",GOLDMAN SACHS,222 MAIN STREET,,SALT LAKE CITY,UT,84101,35,Salt Lake,(212) 902-0571,20,49,E,523110,Private,2008,GOLDMAN SACHS * (CY2010),SALT LAKE CITY,EDTIF,20,375,"$81,762,999 ","$20,200,000 ","$886,727,000 ","$20,000,000 "
94,"THE GOLDMAN SACHS GROUP, INC.",GOLDMAN SACHS,222 MAIN STREET,,SALT LAKE CITY,UT,84101,35,Salt Lake,(212) 902-0571,20,49,E,523110,Private,2010,GOLDMAN SACHS,SALT LAKE CITY,EDTIF,20,690,"$157,611,363 ","$51,000,000 ","$1,713,742,314 ","$47,283,409 "
95,HAEMONETICS CORPORATION,HAEMONETICS,12046 LONE PEAK PKWY,,DRAPER,UT,840209414,35,Salt Lake,(617) 848-7100,100,249,G,423450,Private,2010,HAEMONETICS,DRAPER,EDTIF,6,220,"$1,699,299 ","$17,000,000 ","$26,147,393 ","$169,900 "
96,HERSHEY FOODS CORPORATION,HERSHEY,1711 S 4650 W,,SALT LAKE CITY,UT,84104,35,Salt Lake,(717) 534-5573,10,19,D,425120,Private,2008,HERSHEY,OGDEN,EDTIF,10,123,"$13,009,000 ","$38,000,000 ","$48,860,000 ","$2,600,000 "
97,HEXCEL CORPORATION,HEXCEL CORPORATION,7200 W 5400 S,,SALT LAKE CITY,UT,84118,35,Salt Lake,(801) 252-3400,500,999,I,335991,Private,2012,HEXCEL CORPORATION,SALT LAKE COUNTY,EDTIF,10,616,"$31,071,845 ","$650,000,000 ","$348,019,091 ","$7,767,961 "
98,HIREVUE INC,HIREVUE,10876 S RIVER FRONT PKWY STE 500,,SOUTH JORDAN,UT,840955929,35,Salt Lake,(801) 316-2910,100,249,G,519130,Private,2013,HIREVUE,SALT LAKE CITY,EDTIF,7,540,"$10,090,489 ","$30,000,000 ","$172,876,211 ","$1,513,573 "
99,ICU MEDICAL INC,ICU MEDICAL,4455 ATHERTON DR,,SALT LAKE CITY,UT,841232504,35,Salt Lake,(949) 366-2183,250,499,H,339112,Private,2007,ICU MEDICAL,TAYLORSVILLE,EDTIF,10,378,"$10,879,000 ","$18,850,000 ","$68,974,000 ","$3,000,000 "
100,INDUS VALLEY PARTNERS CORP,INDUS VALLEY PARTNERS,,,SALT LAKE CITY,UT,84103,35,Salt Lake,,10,19,D,541512,Private,2014,INDUS VALLEY PARTNERS,COTTONWOOD HEIGHTS,EDTIF,11,200,"$5,362,085 ","$500,000 ","$91,909,000 ","$1,072,417 "
101,"INSTRUCTURE, INC.","INSTRUCTURE, INC.",6330 S 3000 E,STE 700,SALT LAKE CITY,UT,841216552,35,Salt Lake,(801) 869-5000,500,999,I,511210,Private,2013,"INSTRUCTURE, INC.",COTTONWOOD HEIGHTS,EDTIF,7,655,"$9,464,847 ","$2,100,000 ","$238,429,143 ","$1,892,969 "
102,L-3 COMMUNICATIONS,L-3,322 N  2200 W,,SALT LAKE CITY,UT,84116,35,Salt Lake,,10,19,D,722310,Private,2012,L-3,SALT LAKE COUNTY,EDTIF,10,500,"$22,106,729 ","$6,100,000 ","$389,782,590 ","$5,526,682 "
103,L-3 COMMUNICATIONS CORPORATION,L-3,640 N 2200 W,,SALT LAKE CITY,UT,84116,35,Salt Lake,(801) 594-2131,3000,3999,L,334515,Private,2012,L-3,SALT LAKE COUNTY,EDTIF,10,500,"$22,106,729 ","$6,100,000 ","$389,782,590 ","$5,526,682 "
104,L-3 INTEGRATED SYSTEMS,L-3,640 N 2200 W,,SALT LAKE CITY,UT,841162925,35,Salt Lake,(801) 594-2131,1,4,B,541613,Private,2012,L-3,SALT LAKE COUNTY,EDTIF,10,500,"$22,106,729 ","$6,100,000 ","$389,782,590 ","$5,526,682 "
105,L-3 NATIONAL SECURITY SOLUTIONS INC,L-3,2150 W 700 N,,SALT LAKE CITY,UT,841162925,35,Salt Lake,(703) 434-4024,5,9,C,541511,Private,2012,L-3,SALT LAKE COUNTY,EDTIF,10,500,"$22,106,729 ","$6,100,000 ","$389,782,590 ","$5,526,682 "
106,"MASTERCONTROL, INC.",MASTERCONTROL,6330 S 3000 E,STE 200,SALT LAKE CITY,UT,841216989,35,Salt Lake,(801) 727-6486,250,499,H,541511,Private,2013,MASTERCONTROL,SALT LAKE CITY,EDTIF,5,197,"$4,180,294 ","$15,000,000 ","$54,120,978 ","$836,059 "
107,"MEDICONNECT.NET, INC.",MEDICONNECT GLOBAL INC.,10897 RIVER FRONT PKWY STE 100,,SOUTH JORDAN,UT,840955624,35,Salt Lake,(801) 545-3769,500,999,I,518210,Private,2010,MEDICONNECT GLOBAL INC.,EPHRAIM CITY,EDTIF,10,306,"$7,019,316 ","$470,000 ","$45,500,000 ","$1,754,800 "
108,"MERIT MEDICAL SYSTEMS, INC.",MERIT MEDICAL SYSTEMS,1600 W MERIT PKY,,SOUTH JORDAN,UT,84095,35,Salt Lake,(801) 316-4918,1000,1999,J,339112,Private,2010,MERIT MEDICAL SYSTEMS,SOUTH & WEST JORDAN,EDTIF,10,392,"$25,667,302 ","$11,000,000 ","$95,729,691 ","$4,360,000 "
109,MORGAN STANLEY SMITH BARNEY LLC,MORGAN STANLEY SMITH BARNEY,201 MAIN ST STE 500,,SALT LAKE CITY,UT,84111,35,Salt Lake,(917) 790-5340,250,499,H,523120,Private,2012,MORGAN STANLEY SMITH BARNEY**,SOUTH JORDAN,EDTIF,5,80,"$446,900 ","$2,800,000 ","$11,478,802 ","$89,000 "
110,"MOZY, INC.","MOZY, INC.",79 WALTON ST,STE 200,SALT LAKE CITY,UT,84104,35,Salt Lake,(801) 756-2331,100,249,G,511210,Private,2010,"MOZY, INC.",PLEASANT GROVE,EDTIF,10,91,"$2,716,229 ","$2,200,000 ","$45,401,339 ","$543,200 "
111,"NELSON LABORATORIES, INC.",NELSON LABORATORIES,6280 S REDWOOD RD,,SALT LAKE CITY,UT,841236600,35,Salt Lake,(801) 290-7532,500,999,I,541380,Private,2009,NELSON LABORATORIES,TAYLORSVILLE,EDTIF,10.5,393,"$9,982,877 ","$13,745,000 ","$157,538,750 ","$1,996,600 "
112,OOCL (USA) INC.,OOCL,10913 S RIVER FRONT PKWY,STE 200,SOUTH JORDAN,UT,840953507,35,Salt Lake,(801) 302-6625,100,249,G,488510,Private,2014,OOCL,SALT LAKE CITY,EDTIF/TRAINING,20,300,"$19,079,215 ","$6,800,000 ","$534,801,697 ","$4,769,804 "
113,ORACLE CORPORATION,ORACLE,170 S MAIN ST STE 1150,,SALT LAKE CITY,UT,841011649,35,Salt Lake,(888) 848-4623,100,249,G,511210,Private,2008,ORACLE I,WEST JORDAN,EDTIF,12,100,"$50,415,374 ","$260,000,000 ","$73,574,249 ","$15,124,000 "
114,ORACLE CORPORATION,ORACLE,170 S MAIN ST STE 1150,,SALT LAKE CITY,UT,841011649,35,Salt Lake,(888) 848-4623,100,249,G,511210,Private,2014,ORACLE II,LEHI OR SCL,EDTIF,10,351,"$11,318,408 ","$6,142,500 ","$238,959,392 ","$2,829,602 "
115,OTTO BOCK HEALTHCARE LP,OTTO BOCK,3820 W. GREAT LAKES DRIVE,,SALT LAKE CITY,UT,841207205,35,Salt Lake,(512) 806-2626,100,249,G,339113,Private,2014,OTTO BOCK,SALT LAKE CITY,EDTIF,7,55,"$1,960,096 ","$1,000,000 ","$16,219,299 ","$392,019 "
116,OVERSTOCK COM INC,OVERSTOCK,1984 S 4800 W STE B,,SALT LAKE CITY,UT,84104,35,Salt Lake,,250,499,H,561422,Private,2011,OVERSTOCK,PROVO,EDTIF,10,150,"$4,494,496 ", $-   ,"$95,480,000 ","$1,123,600 "
117,OVERSTOCK COM INC,OVERSTOCK,799 W COLISEUM WAY,,MIDVALE,UT,84047,35,Salt Lake,,1000,1999,J,454111,Private,2011,OVERSTOCK,PROVO,EDTIF,10,150,"$4,494,496 ", $-   ,"$95,480,000 ","$1,123,600 "
118,PACTIV CORPORATION,PACTIV,,,,,,35,Salt Lake,(877) 706-0510,1,4,B,322211,Private,2014,PACTIV**,SALT LAKE COUNTY,EDTIF,10,60,"$5,806,731 ","$52,000,000 ","$28,885,160 ","$871,010 "
119,"PETERBILT OF UTAH, INC.",PETERBILT,1910 S 5500 W,,SALT LAKE CITY,UT,84104,35,Salt Lake,(888) 612-6544,100,249,G,425120,Private,2012,PETERBILT,SALT LAKE,EDTIF,5,145,"$2,590,691 ","$3,475,000 ","$43,606,015 ","$518,138 "
120,PROCTER & GAMBLE DISTRIBUTING COMPA,PROCTER & GAMBLE,,,,,,35,Salt Lake,(513) 983-2531,10,19,D,425120,Private,2008,PROCTER & GAMBLE,BOX ELDER CO.,EDTIF,20,"1,185","$280,739,000 ","$540,000,000 ","$1,278,000,000 ","$85,000,000 "
121,RECKITT BENCKISER LLC,RECKITT BENCKISER,2002 S 5070 W,,SALT LAKE CITY,UT,841044726,35,Salt Lake,(973) 404-2593,20,49,E,325412,Private,2009,RECKITT BENCKISER,TOOELE CO.,EDTIF,10,141,"$9,506,507 ","$35,000,000 ","$49,289,036 ","$1,901,000 "
122,RECKITT BENCKISER PHARMACEUTICALS S,RECKITT BENCKISER,,,,,,35,Salt Lake,(804) 594-4475,1,4,B,424210,Private,2009,RECKITT BENCKISER,TOOELE CO.,EDTIF,10,141,"$9,506,507 ","$35,000,000 ","$49,289,036 ","$1,901,000 "
123,"ROCK WEST COMPOSITES, INC.",ROCK WEST COMPOSITES,3392 W 8600 S STE A,,WEST JORDAN,UT,840885578,35,Salt Lake,(858) 537-6260,20,49,E,335991,Private,2012,ROCK WEST COMPOSITES**,WEST VALLEY,EDTIF,5,93,"$875,711 ","$700,000 ","$15,605,000 ","$175,142 "
124,S A INTERNATIONAL INC,SA INTERNATIONAL,5296 S COMMERCE DR,STE 102,MIDVALE,UT,84107,35,Salt Lake,(801) 478-1900,20,49,E,511210,Private,2009,SA INTERNATIONAL**,SALT LAKE CITY,EDTIF,10,129,"$7,130,805 ","$370,000 ","$63,963,000 ","$1,782,701 "
125,"SAIC ENERGY, ENVIROMENT & INFRASTRU",SAIC,393 S 800 W,,WOODS CROSS,UT,840871435,35,Salt Lake,(405) 478-5353,1,4,B,541310,Private,2012,SAIC**,SALT LAKE/UTAH/DAVIS,EDTIF,10,294,"$8,769,153 ","$10,000,000 ","$127,686,410 ","$2,192,288 "
126,THE BOEING CO,BOEING,1215 N 2200 W,,SALT LAKE CITY,UT,841164128,35,Salt Lake,(801) 537-6400,500,999,I,336413,Private,2013,BOEING,SALT LAKE,EDTIF/TRAINING,20,104,"$5,505,016 ","$219,000,000 ","$146,800,428 ","$1,376,254 "
127,THE BOEING CO,BOEING,10026 S PROSPERITY RD,,WEST JORDAN,UT,840817500,35,Salt Lake,,100,249,G,336414,Private,2013,BOEING,SALT LAKE,EDTIF/TRAINING,20,104,"$5,505,016 ","$219,000,000 ","$146,800,428 ","$1,376,254 "
128,THE BOEING CO,BOEING,,,,,,35,Salt Lake,,1,4,B,336414,Private,2013,BOEING,SALT LAKE,EDTIF/TRAINING,20,104,"$5,505,016 ","$219,000,000 ","$146,800,428 ","$1,376,254 "
129,THE HOME DEPOT,HOME DEPOT,,,,,,35,Salt Lake,,0,,A,423710,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
130,THE HOME DEPOT,HOME DEPOT,,,,,,35,Salt Lake,,250,499,H,541890,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
131,THE HOME DEPOT,HOME DEPOT,4581 S 4000 W,,WEST VALLEY CITY,UT,84120,35,Salt Lake,(801) 963-4700,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
132,THE HOME DEPOT,HOME DEPOT,9570 S HIGHLAND DR,,SANDY,UT,84092,35,Salt Lake,,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
133,THE HOME DEPOT,HOME DEPOT,135 E 11400 S,,SANDY,UT,84070,35,Salt Lake,(801) 523-0069,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
134,THE HOME DEPOT,HOME DEPOT,3398 S HIGHLAND DR,,SALT LAKE CITY,UT,84106,35,Salt Lake,(801) 461-4248,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
135,THE HOME DEPOT,HOME DEPOT,328 W 2100 S ST,,SALT LAKE CITY,UT,84115,35,Salt Lake,(801) 467-3900,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
136,THE HOME DEPOT,HOME DEPOT,1310 E PARK CENTRE DR,,SALT LAKE CITY,UT,84121,35,Salt Lake,(801) 567-0700,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
137,THE HOME DEPOT,HOME DEPOT,3852 W 13400 S,,RIVERTON,UT,84065,35,Salt Lake,(801) 254-5762,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
138,THE HOME DEPOT,HOME DEPOT,1538 W 9000 S,,WEST JORDAN,UT,84088,35,Salt Lake,(801) 256-9229,100,249,G,444110,Private,2012,HOME DEPOT,OGDEN,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
139,THE SUN PRODUCTS CORPORATION (UTAH),SUN PRODUCTS CORPORATION,3540 W 1987 S,,SALT LAKE CITY,UT,84104,35,Salt Lake,(801) 975-3100,500,999,I,325611,Private,2009,SUN PRODUCTS CORPORATION,SALT LAKE CITY,EDTIF/IAF,10,80,"$34,022,025 ","$14,600,000 ","$276,114,553 ","$2,513,600 "
140,"VARIAN MEDICAL SYSTEMS, INC.",VARIAN MEDICAL SYSTEMS,1678 S PIONEER RD,,SALT LAKE CITY,UT,84104,35,Salt Lake,(801) 972-5000,500,999,I,334517,Private,2006,VARIAN MEDICAL SYSTEMS,SALT LAKE CITY,EDTIF,10,100,"$9,593,000 ","$15,000,000 ","$57,508,000 ","$1,000,000 "
141,"VARIAN MEDICAL SYSTEMS, INC.",VARIAN MEDICAL SYSTEMS,1678 S PIONEER RD,,SALT LAKE CITY,UT,84104,35,Salt Lake,(801) 972-5000,500,999,I,334517,Private,2014,VARIAN MEDICAL SYSTEMS,SALT LAKE CITY,EDTIF,15,705,"$35,888,285 ","$40,000,000 ","$460,416,221 ","$7,177,657 "
142,VARIAN SL EMPLOYEES FEDERAL CU,VARIAN MEDICAL SYSTEMS,1678 PIONEER RD,,SALT LAKE CITY,UT,841044205,35,Salt Lake,(801) 973-5143,1,4,B,522130,Private,2006,VARIAN MEDICAL SYSTEMS,SALT LAKE CITY,EDTIF,10,100,"$9,593,000 ","$15,000,000 ","$57,508,000 ","$1,000,000 "
143,VARIAN SL EMPLOYEES FEDERAL CU,VARIAN MEDICAL SYSTEMS,1678 PIONEER RD,,SALT LAKE CITY,UT,841044205,35,Salt Lake,(801) 973-5143,1,4,B,522130,Private,2014,VARIAN MEDICAL SYSTEMS,SALT LAKE CITY,EDTIF,15,705,"$35,888,285 ","$40,000,000 ","$460,416,221 ","$7,177,657 "
144,VERISYS CORPORATION,VERISYS CORPORATION,10813 RIVER FRONT PKWY,STE 250,SOUTH JORDAN,UT,840953531,35,Salt Lake,(703) 535-1460,100,249,G,561110,Private,2009,VERISYS CORPORATION**,SOUTH JORDAN,EDTIF,7,100,"$4,177,496 ","$10,000,000 ","$18,719,026 ","$835,000 "
145,"WORKDAY, INC.",WORKDAY,175 E 400 S STE 200,,SALT LAKE CITY,UT,84111,35,Salt Lake,(877) 967-5329,250,499,H,541511,Private,2012,WORKDAY* (CY2013),SALT LAKE,EDTIF,10,250,"$13,815,759 ", $-   ,"$156,978,924 ","$2,763,151 "
146,"WORKDAY, INC.",WORKDAY,175 E 400 S STE 200,,SALT LAKE CITY,UT,84111,35,Salt Lake,(877) 967-5329,250,499,H,541511,Private,2013,WORKDAY,SALT LAKE,EDTIF,15,500,"$54,072,074 ","$20,000,000 ","$719,396,231 ","$8,370,052 "
